p,d,a
0.75,160,1.863
0.75,161,1.863
0.75,162,1.858
0.75,163,1.859
0.75,164,1.86
0.75,165,1.861
0.75,166,1.861
0.75,167,1.856
0.75,168,1.857
0.75,169,1.858
0.75,170,1.859
0.75,171,1.854
0.75,172,1.855
0.75,173,1.855
0.75,174,1.856
0.75,175,1.857
0.75,176,1.852
0.75,177,1.853
0.75,178,1.854
0.75,179,1.855
0.75,180,1.85
0.75,181,1.851
0.75,182,1.852
0.75,183,1.852
0.75,184,1.853
0.75,185,1.849
0.75,186,1.849
0.75,187,1.85
0.75,188,1.851
0.75,189,1.852
0.75,190,1.847
0.75,191,1.848
0.75,192,1.849
0.75,193,1.85
0.75,194,1.845
0.75,195,1.846
0.75,196,1.847
0.75,197,1.848
0.75,198,1.848
0.75,199,1.844
0.75,200,1.845
0.5,1,3.0
0.5,2,2.0
0.5,3,2.0
0.5,4,1.75
0.5,5,1.8
0.5,6,1.833
0.5,7,1.714
0.5,8,1.75
0.5,9,1.778
0.5,10,1.8
0.5,11,1.727
0.5,12,1.75
0.5,13,1.769
0.5,14,1.714
0.5,15,1.733
0.5,16,1.75
0.5,17,1.706
0.5,18,1.722
0.5,19,1.737
0.5,20,1.75
0.5,21,1.714
0.5,22,1.727
0.5,23,1.739
0.5,24,1.708
0.5,25,1.72
0.5,26,1.731
0.5,27,1.741
0.5,28,1.714
0.5,29,1.724
0.5,30,1.733
0.5,31,1.71
0.5,32,1.719
0.5,33,1.727
0.5,34,1.735
0.5,35,1.714
0.5,36,1.722
0.5,37,1.73
0.5,38,1.711
0.5,39,1.718
0.5,40,1.725
0.5,41,1.732
0.5,42,1.714
0.5,43,1.721
0.5,44,1.727
0.5,45,1.711
0.5,46,1.717
0.5,47,1.723
0.5,48,1.708
0.5,49,1.714
0.5,50,1.72
0.5,51,1.725
0.5,52,1.712
0.5,53,1.717
0.5,54,1.722
0.5,55,1.709
0.5,56,1.714
0.5,57,1.719
0.5,58,1.724
0.5,59,1.712
0.5,60,1.717
0.5,61,1.721
0.5,62,1.71
0.5,63,1.714
0.5,64,1.719
0.5,65,1.723
0.5,66,1.712
0.5,67,1.716
0.5,68,1.721
0.5,69,1.71
0.5,70,1.714
0.5,71,1.718
0.5,72,1.722
0.5,73,1.712
0.5,74,1.716
0.5,75,1.72
0.5,76,1.711
0.5,77,1.714
0.5,78,1.718
0.5,79,1.709
0.5,80,1.713
0.5,81,1.716
0.5,82,1.72
0.5,83,1.711
0.5,84,1.714
0.5,85,1.718
0.5,86,1.709
0.5,87,1.713
0.5,88,1.716
0.5,89,1.719
0.5,90,1.711
0.5,91,1.714
0.5,92,1.717
0.5,93,1.71
0.5,94,1.713
0.5,95,1.716
0.5,96,1.719
0.5,97,1.711
0.5,98,1.714
0.5,99,1.717
0.5,100,1.71
0.5,101,1.713
0.5,102,1.716
0.5,103,1.718
0.5,104,1.712
0.5,105,1.714
0.5,106,1.717
0.5,107,1.71
0.5,108,1.713
0.5,109,1.716
0.5,110,1.718
0.5,111,1.712
0.5,112,1.714
0.5,113,1.717
0.5,114,1.711
0.5,115,1.713
0.5,116,1.716
0.5,117,1.709
0.5,118,1.712
0.5,119,1.714
0.5,120,1.717
0.5,121,1.711
0.5,122,1.713
0.5,123,1.715
0.5,124,1.71
0.5,125,1.712
0.5,126,1.714
0.5,127,1.717
0.5,128,1.711
0.5,129,1.713
0.5,130,1.715
0.5,131,1.71
0.5,132,1.712
0.5,133,1.714
0.5,134,1.716
0.5,135,1.711
0.5,136,1.713
0.5,137,1.715
0.5,138,1.71
0.5,139,1.712
0.5,140,1.714
0.5,141,1.716
0.5,142,1.711
0.5,143,1.713
0.5,144,1.715
0.5,145,1.71
0.5,146,1.712
0.5,147,1.714
0.5,148,1.716
0.5,149,1.711
0.5,150,1.713
0.5,151,1.715
0.5,152,1.711
0.5,153,1.712
0.5,154,1.714
0.5,155,1.71
0.5,156,1.712
0.5,157,1.713
0.5,158,1.715
0.5,159,1.711
0.5,160,1.713
0.5,161,1.714
0.5,162,1.71
