p,d,a
0.5,92,0.88
0.5,93,0.882
0.5,94,0.872
0.5,95,0.874
0.5,96,0.875
0.5,97,0.876
0.5,98,0.878
0.5,99,0.879
0.5,100,0.88
0.5,101,0.871
0.5,102,0.873
0.5,103,0.874
0.5,104,0.875
0.5,105,0.876
0.5,106,0.877
0.5,107,0.879
0.5,108,0.87
0.5,109,0.872
0.5,110,0.873
0.5,111,0.874
0.5,112,0.875
0.5,113,0.876
0.5,114,0.877
0.5,115,0.87
0.5,116,0.871
0.5,117,0.872
0.5,118,0.873
0.5,119,0.874
0.5,120,0.875
0.5,121,0.868
0.5,122,0.869
0.5,123,0.87
0.5,124,0.871
0.5,125,0.872
0.5,126,0.873
0.5,127,0.874
0.5,128,0.867
0.5,129,0.868
0.5,130,0.869
0.5,131,0.87
0.5,132,0.871
0.5,133,0.872
0.5,134,0.873
0.5,135,0.867
0.5,136,0.868
0.5,137,0.869
0.5,138,0.87
0.5,139,0.871
0.5,140,0.871
0.5,141,0.872
0.5,142,0.866
0.5,143,0.867
0.5,144,0.868
0.5,145,0.869
0.5,146,0.87
0.5,147,0.871
0.5,148,0.865
0.5,149,0.866
0.5,150,0.867
0.5,151,0.868
0.5,152,0.868
0.5,153,0.869
0.5,154,0.87
0.5,155,0.871
0.5,156,0.865
0.5,157,0.866
0.5,158,0.867
0.5,159,0.868
0.5,160,0.869
0.5,161,0.87
0.5,162,0.864
0.5,163,0.865
0.5,164,0.866
0.5,165,0.867
0.5,166,0.867
0.5,167,0.868
0.5,168,0.869
0.5,169,0.864
0.5,170,0.865
0.5,171,0.865
0.5,172,0.866
0.5,173,0.867
0.5,174,0.868
0.5,175,0.869
0.5,176,0.864
0.5,177,0.864
0.5,178,0.865
0.5,179,0.866
0.5,180,0.867
0.5,181,0.867
0.5,182,0.868
0.5,183,0.863
0.5,184,0.864
0.5,185,0.865
0.5,186,0.866
0.5,187,0.866
0.5,188,0.867
0.5,189,0.862
0.5,190,0.863
0.5,191,0.864
0.5,192,0.865
0.5,193,0.865
0.5,194,0.866
0.5,195,0.867
0.5,196,0.862
0.5,197,0.863
0.5,198,0.864
0.5,199,0.864
0.5,200,0.865
0.25,1,2.0
0.25,2,1.5
0.25,3,1.333
0.25,4,1.0
0.25,5,1.0
0.25,6,0.833
0.25,7,0.857
0.25,8,0.875
0.25,9,0.778
0.25,10,0.8
0.25,11,0.818
0.25,12,0.833
0.25,13,0.769
0.25,14,0.786
0.25,15,0.8
0.25,16,0.75
0.25,17,0.765
0.25,18,0.778
0.25,19,0.789
0.25,20,0.75
0.25,21,0.762
0.25,22,0.773
0.25,23,0.783
0.25,24,0.75
0.25,25,0.76
0.25,26,0.769
0.25,27,0.778
0.25,28,0.75
0.25,29,0.759
0.25,30,0.767
0.25,31,0.774
0.25,32,0.75
0.25,33,0.758
0.25,34,0.765
0.25,35,0.771
0.25,36,0.75
0.25,37,0.757
0.25,38,0.763
0.25,39,0.769
0.25,40,0.775
0.25,41,0.756
0.25,42,0.762
0.25,43,0.767
0.25,44,0.773
0.25,45,0.756
0.25,46,0.761
0.25,47,0.766
0.25,48,0.771
0.25,49,0.776
0.25,50,0.76
0.25,51,0.765
0.25,52,0.769
0.25,53,0.774
0.25,54,0.759
0.25,55,0.764
0.25,56,0.768
0.25,57,0.772
0.25,58,0.776
0.25,59,0.763
0.25,60,0.767
0.25,61,0.77
0.25,62,0.774
0.25,63,0.778
0.25,64,0.766
0.25,65,0.769
0.25,66,0.773
0.25,67,0.776
0.25,68,0.779
0.25,69,0.768
0.25,70,0.771
0.25,71,0.775
0.25,72,0.778
0.25,73,0.781
0.25,74,0.77
0.25,75,0.773
0.25,76,0.776
0.25,77,0.779
0.25,78,0.769
0.25,79,0.772
0.25,80,0.775
0.25,81,0.778
0.25,82,0.78
0.25,83,0.783
0.25,84,0.774
0.25,85,0.776
0.25,86,0.779
0.25,87,0.782
0.25,88,0.773
0.25,89,0.775
0.25,90,0.778
0.25,91,0.78
0.25,92,0.783
0.25,93,0.785
0.25,94,0.777
0.25,95,0.779
0.25,96,0.781
0.25,97,0.784
0.25,98,0.786
0.25,99,0.778
0.25,100,0.78
0.25,101,0.782
0.25,102,0.784
0.25,103,0.786
0.25,104,0.779
0.25,105,0.781
0.25,106,0.783
0.25,107,0.785
0.25,108,0.787
0.25,109,0.78
0.25,110,0.782
0.25,111,0.784
0.25,112,0.786
0.25,113,0.788
0.25,114,0.781
0.25,115,0.783
0.25,116,0.784
0.25,117,0.786
0.25,118,0.788
0.25,119,0.782
0.25,120,0.783
0.25,121,0.785
0.25,122,0.787
0.25,123,0.789
0.25,124,0.79
0.25,125,0.784
0.25,126,0.786
0.25,127,0.787
0.25,128,0.789
0.25,129,0.791
0.25,130,0.785
0.25,131,0.786
0.25,132,0.788
0.25,133,0.789
0.25,134,0.791
0.25,135,0.785
0.25,136,0.787
0.25,137,0.788
0.25,138,0.79
0.25,139,0.791
0.25,140,0.786
0.25,141,0.787
0.25,142,0.789
0.25,143,0.79
0.25,144,0.792
0.25,145,0.793
0.25,146,0.788
0.25,147,0.789
0.25,148,0.791
0.25,149,0.792
0.25,150,0.793
0.25,151,0.788
0.25,152,0.789
0.25,153,0.791
0.25,154,0.792
0.25,155,0.794
0.25,156,0.788
0.25,157,0.79
0.25,158,0.791
0.25,159,0.792
0.25,160,0.794
0.25,161,0.795
0.25,162,0.79
0.25,163,0.791
0.25,164,0.793
0.25,165,0.794
0.25,166,0.795
0.25,167,0.79
0.25,168,0.792
0.25,169,0.793
0.25,170,0.794
0.25,171,0.795
0.25,172,0.791
0.25,173,0.792
0.25,174,0.793
0.25,175,0.794
0.25,176,0.795
0.25,177,0.797
0.25,178,0.792
0.25,179,0.793
0.25,180,0.794
0.25,181,0.796
0.25,182,0.797
0.25,183,0.792
0.25,184,0.793
0.25,185,0.795
0.25,186,0.796
0.25,187,0.797
0.25,188,0.798
0.25,189,0.794
0.25,190,0.795
0.25,191,0.796
0.25,192,0.797
0.25,193,0.798
0.25,194,0.794
0.25,195,0.795
0.25,196,0.796
0.25,197,0.797
0.25,198,0.798
0.25,199,0.799
0.25,200,0.795
0.05,1,2.0
0.05,2,1.0
0.05,3,1.0
0.05,4,0.75
0.05,5,0.8
0.05,6,0.667
0.05,7,0.571
0.05,8,0.5
0.05,9,0.556
0.05,10,0.5
0.05,11,0.545
0.05,12,0.5
0.05,13,0.538
0.05,14,0.5
0.05,15,0.533
0.05,16,0.5
0.05,17,0.529
0.05,18,0.5
0.05,19,0.526
0.05,20,0.55
0.05,21,0.524
